,0
147,0.022191614
148,0.20271064
149,0.8736613
150,0.18386492
151,0.6582974
152,0.6177226
153,0.16181283
154,0.08457814
155,0.4167989
156,0.3320597
157,0.8819761
158,0.34336883
159,0.34078994
160,0.6841933
161,0.8809727
162,0.70959884
163,0.7636172
164,0.052529745
165,0.81351924
166,0.81853455
167,0.47970894
168,0.14831683
169,0.5974475
170,0.25946215
171,0.26369363
172,0.04623915
173,0.056230348
174,0.22385149
175,0.79167783
176,0.38422006
177,0.40190545
178,0.8037248
179,0.015105922
180,0.9226198
181,0.7691544
182,0.15162309
183,0.9610721
184,0.12938558
185,0.6551451
186,0.12393876
187,0.60417217
188,0.13517803
189,0.20912337
190,0.04271151
191,0.021985192
192,0.054868214
193,0.60524935
194,0.11938634
195,0.27714583
196,0.91108346
197,0.110618725
198,0.90334946
199,0.35073367
200,0.04258305
201,0.033965692
202,0.06624056
203,0.094203964
204,0.45201734
205,0.66019946
206,0.7384746
207,0.91465086
208,0.104503565
209,0.4482153
210,0.3668754
211,0.78077143
212,0.033965692
213,0.33133745
214,0.79784244
215,0.7853581
216,0.6823544
217,0.6187429
218,0.8492433
219,0.5298425
220,0.118417524
221,0.43778968
222,0.4207975
223,0.37779796
224,0.0960031
225,0.08014524
226,0.90715605
227,0.87583166
228,0.43604824
229,0.8719156
230,0.254603
231,0.5795236
232,0.097284526
233,0.76065
234,0.033084072
235,0.7749008
236,0.018427609
237,0.2888448
238,0.12981033
239,0.5848761
240,0.35023704
241,0.8784144
242,0.022297759
243,0.9136706
244,0.4183782
245,0.013221777
246,0.97205997
247,0.08363842
248,0.15608199
249,0.59287304
250,0.65238976
251,0.6127727
252,0.46391153
253,0.0256858
254,0.37692505
255,0.11449812
256,0.084851556
257,0.07592484
258,0.28190902
259,0.049373727
260,0.9262333
261,0.022373196
262,0.65412545
263,0.91084546
264,0.033965692
265,0.7108119
266,0.861157
267,0.79399586
268,0.7490052
269,0.48339733
270,0.8426578
271,0.5609939
272,0.21173565
273,0.7899974
274,0.7245361
275,0.17641997
276,0.34055987
277,0.54581255
278,0.09166485
279,0.96818876
280,0.23199885
281,0.5828973
282,0.949366
283,0.23007241
284,0.62088764
285,0.6158187
286,0.13531142
